id,name,menuId,status,type,deletedAt,createdAt,updatedAt,parentId,blackList,whiteList,assignTo,icon,connectTo,customer,policy,rfq,store,categoryType,aliases
120,Windows 11,,ACTIVE,,,2026-04-01 23:27:23.666,2026-04-01 23:27:23.666,119,NO,NO,,,,,,,,,"{""ar"": [""11""]}"
127,"TV, Video & Home Audio",,ACTIVE,,,2026-04-01 23:27:23.688,2026-04-01 23:27:23.688,3,NO,NO,,,,,,,,,"{""ar"": [""تلفزيون فيديو منزل صوت"", ""تلفزيون"", ""فيديو"", ""منزل"", ""صوت""]}"
131,55-inch,,ACTIVE,,,2026-04-01 23:27:23.707,2026-04-01 23:27:23.707,130,NO,NO,,,,,,,,,"{""ar"": [""55""]}"
133,65-inch,,ACTIVE,,,2026-04-01 23:27:23.714,2026-04-01 23:27:23.714,132,NO,NO,,,,,,,,,"{""ar"": [""65""]}"
134,LED TVs,,ACTIVE,,,2026-04-01 23:27:23.717,2026-04-01 23:27:23.717,129,NO,NO,,,,,,,,,"{""ar"": [""ليد""]}"
137,Home Theater,,ACTIVE,,,2026-04-01 23:27:23.727,2026-04-01 23:27:23.727,136,NO,NO,,,,,,,,,"{""ar"": [""منزل""]}"
142,Home Audio,,ACTIVE,,,2026-04-01 23:27:23.742,2026-04-01 23:27:23.742,127,NO,NO,,,,,,,,,"{""ar"": [""منزل صوت"", ""منزل"", ""صوت""]}"
145,Wireless Subwoofer,,ACTIVE,,,2026-04-01 23:27:23.751,2026-04-01 23:27:23.751,144,NO,NO,,,,,,,,,"{""ar"": [""لاسلكي""]}"
147,Bookshelf Speakers,,ACTIVE,,,2026-04-01 23:27:23.757,2026-04-01 23:27:23.757,146,NO,NO,,,,,,,,,"{""ar"": [""سبيكرات""]}"
148,Bluetooth,,ACTIVE,,,2026-04-01 23:27:23.76,2026-04-01 23:27:23.76,147,NO,NO,,,,,,,,,"{""ar"": [""بلوتوث""]}"
160,Over-Ear,,ACTIVE,,,2026-04-01 23:27:23.804,2026-04-01 23:27:23.804,159,NO,NO,,,,,,,,,"{""ar"": [""أكثر من""]}"
161,Noise Cancelling,,ACTIVE,,,2026-04-01 23:27:23.807,2026-04-01 23:27:23.807,160,NO,NO,,,,,,,,,"{""ar"": [""ضوضاء عزل"", ""ضوضاء"", ""عزل""]}"
163,In-Ear (Earbuds),,ACTIVE,,,2026-04-01 23:27:23.813,2026-04-01 23:27:23.813,159,NO,NO,,,,,,,,,"{""ar"": [""سماعات أذن""]}"
164,True Wireless,,ACTIVE,,,2026-04-01 23:27:23.817,2026-04-01 23:27:23.817,163,NO,NO,,,,,,,,,"{""ar"": [""لاسلكي""]}"
167,Bluetooth,,ACTIVE,,,2026-04-01 23:27:23.826,2026-04-01 23:27:23.826,166,NO,NO,,,,,,,,,"{""ar"": [""بلوتوث""]}"
170,Bluetooth Speakers,,ACTIVE,,,2026-04-01 23:27:23.838,2026-04-01 23:27:23.838,169,NO,NO,,,,,,,,,"{""ar"": [""بلوتوث سبيكرات"", ""بلوتوث"", ""سبيكرات""]}"
171,Waterproof,,ACTIVE,,,2026-04-01 23:27:23.841,2026-04-01 23:27:23.841,170,NO,NO,,,,,,,,,"{""ar"": [""مقاوم للماء""]}"
175,Hi-Res Audio,,ACTIVE,,,2026-04-01 23:27:23.855,2026-04-01 23:27:23.855,174,NO,NO,,,,,,,,,"{""ar"": [""صوت""]}"
93,750W+,,ACTIVE,,,2026-04-01 23:27:23.602,2026-04-01 23:27:23.602,92,NO,NO,,,,,,,,,"{""ar"": [""750w""]}"
97,144Hz+,,ACTIVE,,,2026-04-01 23:27:23.611,2026-04-01 23:27:23.611,96,NO,NO,,,,,,,,,"{""ar"": [""144hz""]}"
140,Wall Mounts,,ACTIVE,,,2026-04-01 23:27:23.736,2026-04-01 23:27:23.736,139,NO,NO,,,,,,,,,"{""ar"": [""جدار""]}"
150,7.1 Channel,,ACTIVE,,,2026-04-01 23:27:23.766,2026-04-01 23:27:23.766,149,NO,NO,,,,,,,,,"{""ar"": [""7.1""]}"
168,Foldable,,ACTIVE,,,2026-04-01 23:27:23.831,2026-04-01 23:27:23.831,167,NO,NO,,,,,,,,,"{""ar"": [""قابل للطي""]}"
88,Motherboards,,ACTIVE,,,2026-04-01 23:27:23.59,2026-04-01 23:27:23.59,75,NO,NO,,,,,,,,,"{""en"": [""motherboards""]}"
90,ATX,,ACTIVE,,,2026-04-01 23:27:23.595,2026-04-01 23:27:23.595,89,NO,NO,,,,,,,,,"{""en"": [""atx""]}"
92,Modular,,ACTIVE,,,2026-04-01 23:27:23.6,2026-04-01 23:27:23.6,91,NO,NO,,,,,,,,,"{""en"": [""modular""]}"
95,Monitors,,ACTIVE,,,2026-04-01 23:27:23.606,2026-04-01 23:27:23.606,94,NO,NO,,,,,,,,,"{""en"": [""monitors""]}"
100,TKL,,ACTIVE,,,2026-04-01 23:27:23.618,2026-04-01 23:27:23.618,99,NO,NO,,,,,,,,,"{""en"": [""tkl""]}"
101,Mice,,ACTIVE,,,2026-04-01 23:27:23.62,2026-04-01 23:27:23.62,94,NO,NO,,,,,,,,,"{""en"": [""mice""]}"
105,Laser Printers,,ACTIVE,,,2026-04-01 23:27:23.63,2026-04-01 23:27:23.63,104,NO,NO,,,,,,,,,"{""en"": [""laser printers""]}"
106,Color Laser,,ACTIVE,,,2026-04-01 23:27:23.633,2026-04-01 23:27:23.633,105,NO,NO,,,,,,,,,"{""en"": [""color laser""]}"
108,Routers,,ACTIVE,,,2026-04-01 23:27:23.637,2026-04-01 23:27:23.637,107,NO,NO,,,,,,,,,"{""en"": [""routers""]}"
109,Wi-Fi 6,,ACTIVE,,,2026-04-01 23:27:23.64,2026-04-01 23:27:23.64,108,NO,NO,,,,,,,,,"{""en"": [""wi-fi 6""]}"
111,Switches,,ACTIVE,,,2026-04-01 23:27:23.644,2026-04-01 23:27:23.644,107,NO,NO,,,,,,,,,"{""en"": [""switches""]}"
112,Managed,,ACTIVE,,,2026-04-01 23:27:23.647,2026-04-01 23:27:23.647,111,NO,NO,,,,,,,,,"{""en"": [""managed""]}"
113,PoE Switches,,ACTIVE,,,2026-04-01 23:27:23.649,2026-04-01 23:27:23.649,112,NO,NO,,,,,,,,,"{""en"": [""poe switches""]}"
116,4-Bay,,ACTIVE,,,2026-04-01 23:27:23.656,2026-04-01 23:27:23.656,115,NO,NO,,,,,,,,,"{""en"": [""4-bay""]}"
117,Software,,ACTIVE,,,2026-04-01 23:27:23.658,2026-04-01 23:27:23.658,54,NO,NO,,,,,,,,,"{""en"": [""software""]}"
119,Windows,,ACTIVE,,,2026-04-01 23:27:23.663,2026-04-01 23:27:23.663,118,NO,NO,,,,,,,,,"{""en"": [""windows""]}"
125,Norton,,ACTIVE,,,2026-04-01 23:27:23.681,2026-04-01 23:27:23.681,124,NO,NO,,,,,,,,,"{""en"": [""norton""]}"
126,Annual License,,ACTIVE,,,2026-04-01 23:27:23.685,2026-04-01 23:27:23.685,125,NO,NO,,,,,,,,,"{""en"": [""annual license""]}"
132,QLED TVs,,ACTIVE,,,2026-04-01 23:27:23.71,2026-04-01 23:27:23.71,129,NO,NO,,,,,,,,,"{""en"": [""qled tvs""]}"
136,Projectors,,ACTIVE,,,2026-04-01 23:27:23.723,2026-04-01 23:27:23.723,128,NO,NO,,,,,,,,,"{""en"": [""projectors""]}"
143,Soundbars,,ACTIVE,,,2026-04-01 23:27:23.745,2026-04-01 23:27:23.745,142,NO,NO,,,,,,,,,"{""en"": [""soundbars""]}"
144,Dolby Atmos,,ACTIVE,,,2026-04-01 23:27:23.748,2026-04-01 23:27:23.748,143,NO,NO,,,,,,,,,"{""en"": [""dolby atmos""]}"
151,Dolby Atmos,,ACTIVE,,,2026-04-01 23:27:23.769,2026-04-01 23:27:23.769,150,NO,NO,,,,,,,,,"{""en"": [""dolby atmos""]}"
152,Streaming Devices,,ACTIVE,,,2026-04-01 23:27:23.772,2026-04-01 23:27:23.772,127,NO,NO,,,,,,,,,"{""en"": [""streaming devices""]}"
153,Media Players,,ACTIVE,,,2026-04-01 23:27:23.775,2026-04-01 23:27:23.775,152,NO,NO,,,,,,,,,"{""en"": [""media players""]}"
155,Streaming Sticks,,ACTIVE,,,2026-04-01 23:27:23.782,2026-04-01 23:27:23.782,154,NO,NO,,,,,,,,,"{""en"": [""streaming sticks""]}"
166,On-Ear,,ACTIVE,,,2026-04-01 23:27:23.823,2026-04-01 23:27:23.823,159,NO,NO,,,,,,,,,"{""en"": [""on-ear""]}"
173,MP3 Players,,ACTIVE,,,2026-04-01 23:27:23.847,2026-04-01 23:27:23.847,158,NO,NO,,,,,,,,,"{""en"": [""mp3 players""]}"
222,Smartwatches,,ACTIVE,,,2026-04-01 23:27:23.99,2026-04-01 23:27:23.99,221,NO,NO,,,,,,,,,"{""ar"": [""ساعات""], ""zh"": [""手表""]}"
206,Camera Bags,,ACTIVE,,,2026-04-01 23:27:23.947,2026-04-01 23:27:23.947,202,NO,NO,,,,,,,,,"{""ar"": [""حقائب"", ""شنط""], ""zh"": [""包""]}"
178,USB Microphones,,ACTIVE,,,2026-04-01 23:27:23.866,2026-04-01 23:27:23.866,177,NO,NO,,,,,,,,,"{""ar"": [""يو اس بي""]}"
191,HERO Series,,ACTIVE,,,2026-04-01 23:27:23.906,2026-04-01 23:27:23.906,190,NO,NO,,,,,,,,,"{""ar"": [""سلسلة""]}"
194,Mini,,ACTIVE,,,2026-04-01 23:27:23.914,2026-04-01 23:27:23.914,193,NO,NO,,,,,,,,,"{""ar"": [""صغير""]}"
198,70-200mm,,ACTIVE,,,2026-04-01 23:27:23.926,2026-04-01 23:27:23.926,197,NO,NO,,,,,,,,,"{""ar"": [""70""]}"
202,Camera Accessories,,ACTIVE,,,2026-04-01 23:27:23.936,2026-04-01 23:27:23.936,181,NO,NO,,,,,,,,,"{""ar"": [""كاميرا إكسسوارات"", ""كاميرا"", ""إكسسوارات""]}"
208,DSLR Backpack,,ACTIVE,,,2026-04-01 23:27:23.952,2026-04-01 23:27:23.952,207,NO,NO,,,,,,,,,"{""ar"": [""حقيبة ظهر""]}"
209,Memory Cards,,ACTIVE,,,2026-04-01 23:27:23.955,2026-04-01 23:27:23.955,202,NO,NO,,,,,,,,,"{""ar"": [""ذاكرة""]}"
216,Mavic Series,,ACTIVE,,,2026-04-01 23:27:23.974,2026-04-01 23:27:23.974,214,NO,NO,,,,,,,,,"{""ar"": [""سلسلة""]}"
220,Indoor,,ACTIVE,,,2026-04-01 23:27:23.984,2026-04-01 23:27:23.984,219,NO,NO,,,,,,,,,"{""ar"": [""داخلي""]}"
224,Series 9,,ACTIVE,,,2026-04-01 23:27:23.995,2026-04-01 23:27:23.995,223,NO,NO,,,,,,,,,"{""ar"": [""سلسلة""]}"
227,Watch 6,,ACTIVE,,,2026-04-01 23:27:24.003,2026-04-01 23:27:24.003,226,NO,NO,,,,,,,,,"{""ar"": [""ساعة""]}"
229,Fitness Trackers,,ACTIVE,,,2026-04-01 23:27:24.009,2026-04-01 23:27:24.009,221,NO,NO,,,,,,,,,"{""ar"": [""لياقة""]}"
232,Charge Series,,ACTIVE,,,2026-04-01 23:27:24.017,2026-04-01 23:27:24.017,231,NO,NO,,,,,,,,,"{""ar"": [""سلسلة""]}"
233,Smart Glasses,,ACTIVE,,,2026-04-01 23:27:24.021,2026-04-01 23:27:24.021,221,NO,NO,,,,,,,,,"{""ar"": [""ذكي""]}"
245,Digital Edition,,ACTIVE,,,2026-04-01 23:27:24.056,2026-04-01 23:27:24.056,244,NO,NO,,,,,,,,,"{""ar"": [""رقمي""]}"
247,Series X,,ACTIVE,,,2026-04-01 23:27:24.061,2026-04-01 23:27:24.061,246,NO,NO,,,,,,,,,"{""ar"": [""سلسلة""]}"
259,Accessories,,ACTIVE,,,2026-04-01 23:27:24.096,2026-04-01 23:27:24.096,241,NO,NO,,,,,,,,,"{""ar"": [""إكسسوارات""]}"
263,Gaming Headsets,,ACTIVE,,,2026-04-01 23:27:24.111,2026-04-01 23:27:24.111,259,NO,NO,,,,,,,,,"{""ar"": [""ألعاب""]}"
264,Wireless,,ACTIVE,,,2026-04-01 23:27:24.114,2026-04-01 23:27:24.114,263,NO,NO,,,,,,,,,"{""ar"": [""لاسلكي""]}"
201,35mm,,ACTIVE,,,2026-04-01 23:27:23.933,2026-04-01 23:27:23.933,200,NO,NO,,,,,,,,,"{""ar"": [""35mm""]}"
225,Bands & Straps,,ACTIVE,,,2026-04-01 23:27:23.998,2026-04-01 23:27:23.998,224,NO,NO,,,,,,,,,"{""ar"": [""أشرطة""]}"
230,Activity Bands,,ACTIVE,,,2026-04-01 23:27:24.011,2026-04-01 23:27:24.011,229,NO,NO,,,,,,,,,"{""ar"": [""أشرطة""]}"
243,PlayStation,,ACTIVE,,,2026-04-01 23:27:24.051,2026-04-01 23:27:24.051,242,NO,NO,,,,,,,,,"{""ar"": [""بلايستيشن""]}"
246,Xbox,,ACTIVE,,,2026-04-01 23:27:24.059,2026-04-01 23:27:24.059,242,NO,NO,,,,,,,,,"{""ar"": [""اكس بوكس""]}"
250,Switch,,ACTIVE,,,2026-04-01 23:27:24.07,2026-04-01 23:27:24.07,249,NO,NO,,,,,,,,,"{""ar"": [""مفتاح""]}"
262,Custom,,ACTIVE,,,2026-04-01 23:27:24.107,2026-04-01 23:27:24.107,261,NO,NO,,,,,,,,,"{""ar"": [""مخصص""]}"
176,DAP,,ACTIVE,,,2026-04-01 23:27:23.858,2026-04-01 23:27:23.858,175,NO,NO,,,,,,,,,"{""en"": [""dap""]}"
177,Microphones,,ACTIVE,,,2026-04-01 23:27:23.863,2026-04-01 23:27:23.863,158,NO,NO,,,,,,,,,"{""en"": [""microphones""]}"
179,Condenser,,ACTIVE,,,2026-04-01 23:27:23.869,2026-04-01 23:27:23.869,178,NO,NO,,,,,,,,,"{""en"": [""condenser""]}"
183,Mirrorless,,ACTIVE,,,2026-04-01 23:27:23.882,2026-04-01 23:27:23.882,182,NO,NO,,,,,,,,,"{""en"": [""mirrorless""]}"
184,Full Frame,,ACTIVE,,,2026-04-01 23:27:23.885,2026-04-01 23:27:23.885,183,NO,NO,,,,,,,,,"{""en"": [""full frame""]}"
186,DSLR,,ACTIVE,,,2026-04-01 23:27:23.891,2026-04-01 23:27:23.891,182,NO,NO,,,,,,,,,"{""en"": [""dslr""]}"
187,APS-C,,ACTIVE,,,2026-04-01 23:27:23.894,2026-04-01 23:27:23.894,186,NO,NO,,,,,,,,,"{""en"": [""aps-c""]}"
188,Canon EOS,,ACTIVE,,,2026-04-01 23:27:23.898,2026-04-01 23:27:23.898,187,NO,NO,,,,,,,,,"{""en"": [""canon eos""]}"
193,Fujifilm Instax,,ACTIVE,,,2026-04-01 23:27:23.912,2026-04-01 23:27:23.912,192,NO,NO,,,,,,,,,"{""en"": [""fujifilm instax""]}"
195,Lenses,,ACTIVE,,,2026-04-01 23:27:23.918,2026-04-01 23:27:23.918,181,NO,NO,,,,,,,,,"{""en"": [""lenses""]}"
197,Telephoto,,ACTIVE,,,2026-04-01 23:27:23.923,2026-04-01 23:27:23.923,196,NO,NO,,,,,,,,,"{""en"": [""telephoto""]}"
199,Prime Lenses,,ACTIVE,,,2026-04-01 23:27:23.928,2026-04-01 23:27:23.928,195,NO,NO,,,,,,,,,"{""en"": [""prime lenses""]}"
203,Tripods,,ACTIVE,,,2026-04-01 23:27:23.94,2026-04-01 23:27:23.94,202,NO,NO,,,,,,,,,"{""en"": [""tripods""]}"
204,Travel Tripods,,ACTIVE,,,2026-04-01 23:27:23.942,2026-04-01 23:27:23.942,203,NO,NO,,,,,,,,,"{""en"": [""travel tripods""]}"
207,Backpacks,,ACTIVE,,,2026-04-01 23:27:23.95,2026-04-01 23:27:23.95,206,NO,NO,,,,,,,,,"{""en"": [""backpacks""]}"
210,SD Cards,,ACTIVE,,,2026-04-01 23:27:23.958,2026-04-01 23:27:23.958,209,NO,NO,,,,,,,,,"{""en"": [""sd cards""]}"
212,Drones,,ACTIVE,,,2026-04-01 23:27:23.963,2026-04-01 23:27:23.963,181,NO,NO,,,,,,,,,"{""en"": [""drones""]}"
214,DJI,,ACTIVE,,,2026-04-01 23:27:23.969,2026-04-01 23:27:23.969,213,NO,NO,,,,,,,,,"{""en"": [""dji""]}"
